anio,cat,siaf_id,pia,pim,devengado
2008,total,300659,1595757,1997909,1440242
2008,total,300660,1063768,1473951,1347994
2008,total,300661,1266702,1368775,1075100
2008,total,300662,4363403,5310331,4276405
2008,total,300663,1409759,2271370,1345801
2008,total,300664,829329,966563,833563
2008,total,300665,1305097,2438131,1639519
2008,total,300666,3315251,4594753,3296124
2008,total,300667,914150,1001131,874600
2008,total,300668,2638907,4745044,3867963
2008,total,300669,1355578,1306084,1213047
2008,total,300670,1110917,1360436,1150588
2008,total,300671,1141561,1146261,1001029
2008,total,300672,1554114,1975469,1556774
2008,total,300673,923385,925759,855103
2008,total,300674,621190,937498,862673
2008,total,300675,925546,823516,771860
2008,total,300676,1172897,1105619,900620
2008,total,300677,129904417,210734469,189719270
2008,total,300678,26193674,39876182,33782418
2008,total,300679,19015744,29697185,29435189
2008,total,300680,17514973,20901986,19715344
2008,total,300681,12922827,25823842,15934601
2008,total,300682,54085761,107807098,99302984
2008,total,300684,63265024,110570482,76364432
2008,total,300685,1772297,2806318,2419799
2008,total,300686,2581762,4019350,3695561
2008,total,300687,10723772,13968478,13194521
2008,total,300688,22106951,40285625,22068707
2008,total,300689,19033942,28973187,26274116
2008,total,300690,1397307,2081657,1551183
2008,total,300691,13023432,18568121,14612569
2008,total,300692,4788580,7106330,5115784
2008,total,300693,1682321,2285440,1927053
2008,total,300694,1823294,2453312,1935257
2008,total,300695,1363151,1897577,1465537
2008,total,300696,5198079,8741321,5892406
2008,total,300697,2591450,3348530,2326889
2008,total,300698,2393171,3060337,2392614
2008,total,300699,12618015,19189792,18534954
2008,total,300700,4737732,10926221,7494011
2008,total,300701,1296453,1905312,1747441
2008,total,300702,3655952,4805528,4447923
2008,total,300703,3268694,6076673,4641635
2008,total,300704,5406953,10848152,6906529
2008,total,300705,2406506,3720775,3447268
2008,total,300706,2327012,3949252,2656869
2008,total,300707,2338141,3465281,3350604
2008,total,300708,11180065,20897374,13620516
2008,total,300709,2321634,3320061,3117763
2008,total,300710,3437857,4469422,3878733
2008,total,300711,4054581,5361383,4625930
2008,total,300712,5876623,10067340,7921266
2008,total,300713,3564379,5195027,4247654
2008,total,300714,2180110,2820727,2038124
